Area,crime_2011,crime_2021
E01000519,0.052223371,0.051635992
E01000520,0.066095471,0.066586683
E01000521,0.184018265,0.123963335
E01000522,0.079356846,0.04842615
E01000523,0.110940499,0.116289199
E01000524,0.200873362,0.208053691
E01000525,0.083124687,0.079914758
E01000526,0.144870101,0.115525114
E01000527,0.067617295,0.0896
E01000528,0.101604278,0.087185489
E01000530,0.057891862,0.044345898
E01000531,0.068007663,0.097006652
E01000532,0.069028711,0.063994829
E01000533,0.130569034,0.124768946
E01000534,0.063483146,0.049142857
E01000535,0.078368469,0.076320939
E01000536,0.084917617,0.067394095
E01000538,0.042351454,0.042409342
E01000539,0.035019455,0.033866995
E01000540,0.028781794,0.029790115
E01000541,0.078236131,0.070629371
E01000543,0.091703057,0.086556169
E01000544,0.07490218,0.058789954
E01000545,0.177826564,0.124346917
E01000546,0.057436518,0.109876543
E01000547,0.044692737,0.054819277
E01000548,0.216779825,0.150465357
E01000549,0.046272494,0.059450365
E01000550,0.097313735,0.103703704
E01000551,0.093665158,0.053195164
E01000552,0.080769231,0.045303131
E01000553,0.088026503,0.108439647
E01000554,0.068632708,0.060530265
E01000555,0.051930759,0.063151441
E01000556,0.130801688,0.130813953
E01000557,0.053248136,0.078505685
E01000558,0.109054858,0.096632504
E01000559,0.087017544,0.092955701
E01000560,0.071122011,0.072809278
E01000561,0.083241455,0.067152525
E01000562,0.053582957,0.0332668
E01000563,0.066395664,0.037593985
E01000564,0.060991105,0.071995119
E01000565,0.091339648,0.059050064
E01000566,0.04749512,0.033629442
E01000567,0.059377263,0.044744318
E01000568,0.096348438,0.170347003
E01000569,0.046615581,0.045205479
E01000570,0.065189873,0.056640625
E01000571,0.084449621,0.08040201
E01000572,0.041694687,0.033579584
E01000573,0.03992514,0.033116499
E01000574,0.040530582,0.027861902
E01000575,0.096533333,0.059318076
E01000576,0.066827213,0.041259501
E01000577,0.078350515,0.065398335
E01000578,0.098135965,0.101943844
E01000579,0.072325164,0.058333333
E01000580,0.099244332,0.106220096
E01000581,0.085952534,0.063642519
E01000582,0.062229437,0.067501361
E01000583,0.131671041,0.087278107
E01000584,0.041617819,0.042431919
E01000585,0.037486218,0.037524687
E01000586,0.171057965,0.158227848
E01000587,0.096491228,0.041641151
E01000588,0.085342529,0.079747003
E01000589,0.0936853,0.054574009
E01000590,0.04785754,0.030721966
E01000591,0.085618086,0.086857663
E01000592,0.077729796,0.055555556
E01000593,0.028517999,0.044327931
E01000594,0.117647059,0.069345074
E01000595,0.085510689,0.073225266
E01000596,0.094817432,0.096897115
E01000599,0.093465046,0.057142857
E01000600,0.085342529,0.079747003
E01000601,0.326072607,0.451149425
E01000602,0.094620868,0.081435473
E01000603,0.060951105,0.084320557
E01000604,0.079140757,0.056451613
E01000605,0.076139089,0.066895369
E01000606,0.035547786,0.041711809
E01000607,0.060510982,0.032194739
E01000608,0.141912737,0.098283262
E01000609,0.066475371,0.04505814
E01000610,0.049535604,0.045351474
