Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01000094,0.658,0.719,0.626,0.531,0.019,0.024,0.109544469,0.104117647,160000,324498,0.065022422,0.046341463,0.570032145
E01000095,0.489,0.567,0.732,0.624,0.073,0.059,0.083883129,0.117724868,159750,368750,0.317550505,0.19560341,0.789585692
E01000096,0.562,0.671,0.802,0.663,0.051,0.053,0.180976431,0.130316742,165000,307500,0.109301104,0.101076555,0.737078026
E01000097,0.314,0.477,0.82,0.724,0.181,0.111,0.095500459,0.165289256,196500,337500,0.075640262,0.068016615,-0.262653098
E01000098,0.391,0.57,0.827,0.709,0.092,0.086,0.135750422,0.145415473,207000,340000,0.08390411,0.109504132,0.036047346
E01000099,0.297,0.526,0.818,0.628,0.109,0.059,0.090680101,0.10990099,205000,335000,0.083525346,0.046360014,-0.122419368
E01000100,0.298,0.468,0.836,0.716,0.109,0.083,0.097845601,0.144886364,160500,316000,0.056763285,0.053360698,0.012603773
E01000101,0.294,0.465,0.817,0.72,0.107,0.105,0.083487941,0.137664346,159500,345250,0.075049375,0.064820271,-0.166004262
E01000102,0.292,0.437,0.814,0.73,0.128,0.096,0.100283822,0.138867339,160000,327000,0.066494513,0.069154775,0.309237372
E01000103,0.406,0.549,0.794,0.649,0.076,0.079,0.117896522,0.122727273,167500,295000,0.067886659,0.064317673,0.145909456
E01000104,0.364,0.523,0.855,0.665,0.079,0.077,0.142269737,0.135446686,134925,325000,0.110244989,0.079239303,0.822985201
E01000105,0.327,0.486,0.827,0.696,0.125,0.098,0.127689105,0.136624569,154500,315000,0.113128492,0.125054277,0.540214264
E01000106,0.381,0.525,0.804,0.677,0.114,0.095,0.126199262,0.135152284,105000,345000,0.110608346,0.093554163,1.845524458
E01000107,0.287,0.448,0.845,0.706,0.169,0.155,0.085049239,0.10940919,175000,367000,0.033033033,0.040906578,0.168088699
E01000108,0.323,0.491,0.804,0.684,0.117,0.105,0.067474048,0.110335196,190000,380000,0.066838046,0.088114754,-0.202037648
E01000109,0.394,0.445219575,0.81,0.537669242,0.105,0.125633398,0.08169464,0.102151742,167500,365000,0.085342529,0.079747003,0.265976841
E01000110,0.446,0.666,0.738,0.642,0.138,0.113,0.068226121,0.10375817,212000,417500,0.054301834,0.041327489,0.00634588
E01000111,0.39,0.475,0.799,0.698,0.132,0.113,0.102707006,0.13126935,174000,312500,0.076381365,0.101928375,0.317464302
E01000112,0.501,0.633,0.753,0.627,0.109,0.086,0.089167281,0.107404937,185000,370000,0.077618288,0.087261785,0.575672394
E01000113,0.507,0.59,0.739,0.651,0.103,0.089,0.091973244,0.114473684,204500,380000,0.090207715,0.078322385,0.466683966
E01000114,0.411,0.677,0.81,0.648,0.115,0.081,0.082068966,0.107854631,180000,377500,0.102723364,0.09273183,0.23147737
