LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01000633,1548,186
E01000634,1751,204
E01000636,1415,129
E01000637,1308,116
E01000638,1469,167
E01000639,1462,85
E01000640,1631,186
E01000641,1465,144
E01000642,1734,128
E01000643,1523,223
E01000644,1482,140
E01033455,902,139
E01033456,1491,269
E01033457,1327,95
E01033463,2168,183
E01033485,1481,216
E01033929,270,33
E01033930,1298,163
E01033931,886,109
E01033932,1144,180
E01033933,1252,165
E01033934,793,115
E01033935,1280,149
E01033936,599,76
E01033937,734,118
E01033938,457,84
E01033939,238,28
E01033940,0,0
E01033941,1207,181
E01033942,0,0
E01000645,996,14
E01000646,1163,44
E01000647,1154,37
E01000648,1245,38
E01000649,1387,34
E01000650,1315,44
E01000651,1079,27
E01000652,1158,19
E01000653,1093,38
E01000654,959,21
E01000655,979,29
E01000656,1070,25
E01000657,1171,30
E01000658,1006,18
E01000659,1112,21
E01000661,1108,108
E01000662,1220,86
E01000663,1104,52
E01000664,1136,64
E01000665,1296,43
E01000666,1304,24
E01000667,1118,28
E01000668,1193,39
E01000669,1194,47
E01000670,1461,51
E01000671,1264,46
E01000672,1093,23
E01000673,1118,34
E01000674,1174,52
E01000676,1293,84
E01000677,1325,52
E01000678,1239,42
E01000679,1188,27
E01000680,1192,22
E01000681,1221,19
E01000682,1035,20
E01000683,1170,60
E01000684,1456,42
E01000685,1107,39
E01000686,1069,27
E01000687,1161,33
E01000688,985,24
E01000689,974,55
E01000690,1014,30
E01000691,1043,37
E01000692,1162,33
E01000693,1019,28
E01000694,1069,25
E01000695,1262,22
E01000696,1000,21
E01000697,996,22
E01000698,875,25
E01000699,1096,90
E01000700,1147,42
E01000701,1028,45
E01000702,1031,36
E01000703,1193,26
E01000704,1039,40
E01000705,982,64
E01000706,968,32
E01000707,740,11
E01000708,1376,51
E01000709,988,40
E01000710,1296,40
E01000711,1390,44
E01000712,1297,25
E01000713,1338,35
E01000714,1500,44
E01000715,1236,21
E01000716,1104,37
E01000717,1295,33
E01000718,1514,117
E01000719,990,64
E01000720,1143,121
E01000721,1237,135
E01000722,1173,60
E01000723,914,30
E01000724,1130,131
E01000725,1174,67
E01000726,947,29
E01000727,1114,44
E01000728,1071,67
E01000729,1238,146
E01000730,1143,115
E01000731,940,61
E01000732,1052,50
E01000733,1138,52
E01000734,945,36
E01000735,1034,95
E01000736,1068,53
E01000737,925,69
E01000738,1055,41
E01000739,995,95
E01000741,1289,94
E01000742,1608,109
E01000743,1300,143
E01000744,1072,139
E01000745,1370,91
E01000746,1466,90
E01000747,1374,60
E01000748,1190,40
E01000749,1132,24
E01000750,1088,61
E01000751,1368,76
E01000752,1050,35
E01000753,1186,21
E01000754,1165,33
E01000755,1027,20
E01000756,1094,21
E01000757,1097,13
E01000758,1037,18
E01000759,1113,19
E01000760,1029,28
E01000761,1131,24
E01000762,1156,43
E01000763,1047,20
E01000764,1122,28
E01000765,1221,29
E01000766,1213,21
E01000767,1144,20
E01000768,1116,30
E01000769,1063,95
E01000770,998,26
E01000771,1188,39
E01000772,1016,27
E01000773,1006,27
E01000774,1062,30
E01000775,1547,39
E01000777,1098,28
E01000778,1122,48
E01000779,929,43
E01000780,1058,74
E01000781,998,73
E01000782,979,94
E01000783,1019,89
E01000784,1095,33
E01000785,974,61
E01000786,986,27
E01000787,1000,44
E01000788,1122,57
E01000789,1121,142
E01000790,1481,68
E01000791,991,28
E01000792,773,33
E01000793,1131,28
